San Jose Sharks,SJS
Nashville Predators,NSH
Tampa Bay Lightning,TBL
Vegas Golden Knights,VGK
Boston Bruins,BOS
Columbus Blue Jackets,CBJ
Toronto Maple Leafs,TOR
Chicago Blackhawks,CHI
Seattle Kraken,SEA
Vancouver Canucks,VAN
Arizona Coyotes,ARI
New Jersey Devils,NJD
Ottawa Senators,OTT
Florida Panthers,FLA
Washington Capitals,WSH
Dallas Stars,DAL
New York Rangers,NYR
Colorado Avalanche,COL
Montreal Canadiens,MTL
Carolina Hurricanes,CAR
Detroit Red Wings,DET
Anaheim Ducks,ANA
Los Angeles Kings,LAK
Calgary Flames,CGY
Pittsburgh Penguins,PIT
Winnipeg Jets,WPG
Philadelphia Flyers,PHI
Buffalo Sabres,BUF
St. Louis Blues,STL
Minnesota Wild,MIN
New York Islanders,NYI
Edmonton Oilers,EDM
